set_id,quiz_id,country_name,flag_image,question_text,option_a,option_b,option_c,option_d,correct_answer
Set_11,31,Cameroon,"=IMAGE(""https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_11_031_(cameroon).png"")",Which country does this flag belong to?,Cameroon,Suriname,Mongolia,Belize,Cameroon
Set_11,32,Botswana,"=IMAGE(""https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_11_032_(botswana).png"")",Which country does this flag belong to?,Ecuador,Botswana,Guatemala,England,Botswana
Set_11,33,Burundi,"=IMAGE(""https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_11_033_(burundi).png"")",Which country does this flag belong to?,Canada,Réunion,Burundi,Montenegro,Burundi
Set_12,34,Chile,"=IMAGE(""https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_12_034_(chile).png"")",Which country does this flag belong to?,"Virgin Islands, British",Chile,Bahrain,Myanmar,Chile
Set_12,35,Brunei Darussalam,"=IMAGE(""https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_12_035_(brunei_darussalam).png"")",Which country does this flag belong to?,Northern Ireland,Brunei Darussalam,Montenegro,Jordan,Brunei Darussalam
Set_12,36,Cape Verde,"=IMAGE(""https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_12_036_(cape_verde).png"")",Which country does this flag belong to?,Central African Republic,Réunion,Cape Verde,Czech Republic,Cape Verde
Set_13,37,China,"=IMAGE(""https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_13_037_(china).png"")",Which country does this flag belong to?,China,Saint Martin,Greece,Uzbekistan,China
Set_13,38,Bulgaria,"=IMAGE(""https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_13_038_(bulgaria).png"")",Which country does this flag belong to?,Algeria,Solomon Islands,Saudi Arabia,Bulgaria,Bulgaria
Set_13,39,Cayman Islands,"=IMAGE(""https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_13_039_(cayman_islands).png"")",Which country does this flag belong to?,Cayman Islands,Nauru,Zambia,United Arab Emirates,Cayman Islands
Set_14,40,Colombia,"=IMAGE(""https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_14_040_(colombia).png"")",Which country does this flag belong to?,Guadeloupe,Colombia,Trinidad and Tobago,Guam,Colombia
Set_14,41,Burkina Faso,"=IMAGE(""https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_14_041_(burkina_faso).png"")",Which country does this flag belong to?,Burkina Faso,Ethiopia,Lithuania,Uruguay,Burkina Faso
Set_14,42,Christmas Island,"=IMAGE(""https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_14_042_(christmas_island).png"")",Which country does this flag belong to?,Christmas Island,Caribbean Netherlands,Saint Martin,Saint Pierre and Miquelon,Christmas Island
Set_15,43,Costa Rica,"=IMAGE(""https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_15_043_(costa_rica).png"")",Which country does this flag belong to?,Saint Kitts and Nevis,Puerto Rico,Costa Rica,Antigua and Barbuda,Costa Rica
Set_15,44,Cambodia,"=IMAGE(""https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_15_044_(cambodia).png"")",Which country does this flag belong to?,Japan,Cambodia,Cayman Islands,Åland Islands,Cambodia
Set_15,45,Cocos Islands,"=IMAGE(""https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_15_045_(cocos_islands).png"")",Which country does this flag belong to?,Cocos Islands,British Indian Ocean Territory,Benin,Aruba,Cocos Islands
Set_16,46,Croatia,"=IMAGE(""https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_16_046_(croatia).png"")",Which country does this flag belong to?,Cyprus,Barbados,Slovenia,Croatia,Croatia
Set_16,47,Canada,"=IMAGE(""https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_16_047_(canada).png"")",Which country does this flag belong to?,Kazakhstan,Saint Pierre and Miquelon,Canada,Thailand,Canada
Set_16,48,Comoros,"=IMAGE(""https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_16_048_(comoros).png"")",Which country does this flag belong to?,Indonesia,Comoros,Mayotte,Trinidad and Tobago,Comoros
Set_17,49,Cuba,"=IMAGE(""https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_17_049_(cuba).png"")",Which country does this flag belong to?,Botswana,Zimbabwe,Sweden,Cuba,Cuba
Set_17,50,Caribbean Netherlands,"=IMAGE(""https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_17_050_(caribbean_netherlands).png"")",Which country does this flag belong to?,Nauru,Moldova,South Africa,Caribbean Netherlands,Caribbean Netherlands
Set_17,51,"Congo, the Democratic Republic of the","=IMAGE(""https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_17_051_(congo_the_democratic_the).png"")",Which country does this flag belong to?,Caribbean Netherlands,Tokelau,"Congo, the Democratic Republic of the",Mexico,"Congo, the Democratic Republic of the"
Set_18,52,Cyprus,"=IMAGE(""https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_18_052_(cyprus).png"")",Which country does this flag belong to?,Cambodia,Chile,Cyprus,Tokelau,Cyprus
Set_18,53,Central African Republic,"=IMAGE(""https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_18_053_(central_african_republic).png"")",Which country does this flag belong to?,Martinique,Central African Republic,Spain,Yemen,Central African Republic
Set_18,54,Cook Islands,"=IMAGE(""https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_18_054_(cook_islands).png"")",Which country does this flag belong to?,El Salvador,Marshall Islands,Saudi Arabia,Cook Islands,Cook Islands
Set_19,55,Denmark,"=IMAGE(""https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_19_055_(denmark).png"")",Which country does this flag belong to?,Guinea,Northern Ireland,Denmark,United Kingdom,Denmark
Set_19,56,Chad,"=IMAGE(""https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_19_056_(chad).png"")",Which country does this flag belong to?,Moldova,Bhutan,Chad,Sierra Leone,Chad
Set_19,57,Curaçao,"=IMAGE(""https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_19_057_(curaçao).png"")",Which country does this flag belong to?,Cook Islands,Curaçao,Djibouti,Ethiopia,Curaçao
Set_20,58,Ecuador,"=IMAGE(""https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_20_058_(ecuador).png"")",Which country does this flag belong to?,Ecuador,Åland Islands,Jamaica,Mongolia,Ecuador
Set_20,59,Czech Republic,"=IMAGE(""https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_20_059_(czech_republic).png"")",Which country does this flag belong to?,Switzerland,Czech Republic,Antigua and Barbuda,Mauritius,Czech Republic
Set_20,60,Côte d'Ivoire,"=IMAGE(""https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_20_060_(côte_divoire).png"")",Which country does this flag belong to?,Hong Kong,Côte d'Ivoire,Slovakia,French Guiana,Côte d'Ivoire
Set_21,61,Egypt,"=IMAGE(""https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_21_061_(egypt).png"")",Which country does this flag belong to?,Egypt,Gabon,Panama,Palau,Egypt
Set_21,62,Dominica,"=IMAGE(""https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_21_062_(dominica).png"")",Which country does this flag belong to?,Turkmenistan,Bahamas,Dominica,Bouvet Island,Dominica
Set_21,63,Djibouti,"=IMAGE(""https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_21_063_(djibouti).png"")",Which country does this flag belong to?,Kenya,Djibouti,Vietnam,Equatorial Guinea,Djibouti
Set_22,64,Estonia,"=IMAGE(""https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_22_064_(estonia).png"")",Which country does this flag belong to?,Estonia,Northern Mariana Islands,Malta,Malawi,Estonia
Set_22,65,Dominican Republic,"=IMAGE(""https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_22_065_(dominican_republic).png"")",Which country does this flag belong to?,Dominican Republic,American Samoa,Philippines,Kosovo,Dominican Republic
Set_22,66,England,"=IMAGE(""https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_22_066_(england).png"")",Which country does this flag belong to?,England,Colombia,China,Saint Barthélemy,England
Set_23,67,Ethiopia,"=IMAGE(""https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_23_067_(ethiopia).png"")",Which country does this flag belong to?,Ecuador,"Congo, the Democratic Republic of the",Ethiopia,Germany,Ethiopia
Set_23,68,El Salvador,"=IMAGE(""https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_23_068_(el_salvador).png"")",Which country does this flag belong to?,Nicaragua,Azerbaijan,Uruguay,El Salvador,El Salvador
Set_23,69,Equatorial Guinea,"=IMAGE(""https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_23_069_(equatorial_guinea).png"")",Which country does this flag belong to?,Belarus,Equatorial Guinea,Caribbean Netherlands,Togo,Equatorial Guinea
Set_24,70,Fiji,"=IMAGE(""https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_24_070_(fiji).png"")",Which country does this flag belong to?,Réunion,French Southern Territories,Fiji,Syrian Arab Republic,Fiji
Set_24,71,French Southern Territories,"=IMAGE(""https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_24_071_(french_southern_territories).png"")",Which country does this flag belong to?,Burkina Faso,French Southern Territories,Costa Rica,Germany,French Southern Territories
Set_24,72,Eritrea,"=IMAGE(""https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_24_072_(eritrea).png"")",Which country does this flag belong to?,Cayman Islands,Cyprus,Eritrea,US Minor Outlying Islands,Eritrea
Set_25,73,Finland,"=IMAGE(""https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_25_073_(finland).png"")",Which country does this flag belong to?,Liberia,Turks and Caicos Islands,South Sudan,Finland,Finland
Set_25,74,Gabon,"=IMAGE(""https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_25_074_(gabon).png"")",Which country does this flag belong to?,Finland,Djibouti,United States,Gabon,Gabon
Set_25,75,Europe,"=IMAGE(""https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_25_075_(europe).png"")",Which country does this flag belong to?,Europe,Greece,Suriname,Somalia,Europe
Set_26,76,France,"=IMAGE(""https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_26_076_(france).png"")",Which country does this flag belong to?,French Guiana,Northern Mariana Islands,Comoros,France,France
Set_26,77,Gambia,"=IMAGE(""https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_26_077_(gambia).png"")",Which country does this flag belong to?,Cuba,Georgia,Gambia,Austria,Gambia
Set_26,78,Falkland Islands,"=IMAGE(""https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_26_078_(falkland_islands).png"")",Which country does this flag belong to?,South Sudan,Singapore,Falkland Islands,Egypt,Falkland Islands
Set_27,79,Germany,"=IMAGE(""https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_27_079_(germany).png"")",Which country does this flag belong to?,Uganda,Croatia,Germany,Pakistan,Germany
Set_27,80,Georgia,"=IMAGE(""https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_27_080_(georgia).png"")",Which country does this flag belong to?,Georgia,Saint Lucia,Cape Verde,Trinidad and Tobago,Georgia
Set_27,81,Faroe Islands,"=IMAGE(""https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_27_081_(faroe_islands).png"")",Which country does this flag belong to?,Ukraine,Pakistan,Mauritius,Faroe Islands,Faroe Islands
Set_28,82,Ghana,"=IMAGE(""https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_28_082_(ghana).png"")",Which country does this flag belong to?,Greenland,Kazakhstan,Ghana,Falkland Islands,Ghana
Set_28,83,Guinea-Bissau,"=IMAGE(""https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_28_083_(guinea-bissau).png"")",Which country does this flag belong to?,Kingdom of Eswatini,Honduras,Guinea-Bissau,Botswana,Guinea-Bissau
Set_28,84,French Guiana,"=IMAGE(""https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_28_084_(french_guiana).png"")",Which country does this flag belong to?,French Guiana,Pitcairn,Virgin Islands Us,Wales,French Guiana
Set_29,85,Greece,"=IMAGE(""https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_29_085_(greece).png"")",Which country does this flag belong to?,Dominica,Cook Islands,Bosnia and Herzegovina,Greece,Greece
Set_29,86,Guyana,"=IMAGE(""https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_29_086_(guyana).png"")",Which country does this flag belong to?,Guyana,Albania,Singapore,Guam,Guyana
Set_29,87,French Polynesia,"=IMAGE(""https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_29_087_(french_polynesia).png"")",Which country does this flag belong to?,Armenia,French Polynesia,Solomon Islands,"Bolivia, Plurinational State of",French Polynesia
Set_30,88,Guatemala,"=IMAGE(""https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_30_088_(guatemala).png"")",Which country does this flag belong to?,Cameroon,"Venezuela, Bolivarian Republic of",Guatemala,Lebanon,Guatemala
Set_30,89,Haiti,"=IMAGE(""https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_30_089_(haiti).png"")",Which country does this flag belong to?,North Macedonia,"Iran, Islamic Republic of",Colombia,Haiti,Haiti
Set_30,90,Gibraltar,"=IMAGE(""https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_30_090_(gibraltar).png"")",Which country does this flag belong to?,Madagascar,India,Gibraltar,Republic of Türkiye,Gibraltar
Set_31,91,Honduras,"=IMAGE(""https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_31_091_(honduras).png"")",Which country does this flag belong to?,Libya,Hong Kong,Honduras,Guernsey,Honduras
Set_31,92,Iraq,"=IMAGE(""https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_31_092_(iraq).png"")",Which country does this flag belong to?,Bermuda,Liberia,Iraq,Solomon Islands,Iraq
Set_31,93,Greenland,"=IMAGE(""https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_31_093_(greenland).png"")",Which country does this flag belong to?,Greenland,Timor-Leste,San Marino,Grenada,Greenland
Set_32,94,Hungary,"=IMAGE(""https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_32_094_(hungary).png"")",Which country does this flag belong to?,Mozambique,Hungary,Qatar,Bosnia and Herzegovina,Hungary
Set_32,95,Jordan,"=IMAGE(""https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_32_095_(jordan).png"")",Which country does this flag belong to?,Anguilla,Jordan,Burkina Faso,Solomon Islands,Jordan
Set_32,96,Grenada,"=IMAGE(""https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_32_096_(grenada).png"")",Which country does this flag belong to?,Lesotho,Germany,South Sudan,Grenada,Grenada
Set_33,97,Iceland,"=IMAGE(""https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_33_097_(iceland).png"")",Which country does this flag belong to?,Martinique,Isle of Man,Sudan,Iceland,Iceland
Set_33,98,Kazakhstan,"=IMAGE(""https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_33_098_(kazakhstan).png"")",Which country does this flag belong to?,Kazakhstan,Greenland,Ireland,Slovakia,Kazakhstan
Set_33,99,Guadeloupe,"=IMAGE(""https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_33_099_(guadeloupe).png"")",Which country does this flag belong to?,Trinidad and Tobago,Guadeloupe,Senegal,Japan,Guadeloupe
Set_34,100,India,"=IMAGE(""https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_34_100_(india).png"")",Which country does this flag belong to?,"Bolivia, Plurinational State of",Lesotho,Panama,India,India
Set_34,101,"Korea, Republic of","=IMAGE(""https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_34_101_(korea).png"")",Which country does this flag belong to?,"Korea, Republic of",Cocos Islands,Singapore,American Samoa,"Korea, Republic of"
Set_34,102,Guam,"=IMAGE(""https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_34_102_(guam).png"")",Which country does this flag belong to?,Indonesia,"Bolivia, Plurinational State of",Sudan,Guam,Guam
Set_35,103,Indonesia,"=IMAGE(""https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_35_103_(indonesia).png"")",Which country does this flag belong to?,Angola,Indonesia,Saudi Arabia,Puerto Rico,Indonesia
Set_35,104,Kosovo,"=IMAGE(""https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_35_104_(kosovo).png"")",Which country does this flag belong to?,Wallis and Futuna Islands,Kosovo,Benin,Comoros,Kosovo
Set_35,105,Guernsey,"=IMAGE(""https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_35_105_(guernsey).png"")",Which country does this flag belong to?,Guernsey,Bouvet Island,Botswana,Sint Maarten,Guernsey
Set_36,106,"Iran, Islamic Republic of","=IMAGE(""https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_36_106_(iran_islamic).png"")",Which country does this flag belong to?,Ethiopia,Gambia,"Iran, Islamic Republic of",Sint Maarten,"Iran, Islamic Republic of"
Set_36,107,Kuwait,"=IMAGE(""https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_36_107_(kuwait).png"")",Which country does this flag belong to?,Macao,Vanuatu,Kuwait,Côte d'Ivoire,Kuwait
Set_36,108,Guinea,"=IMAGE(""https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_36_108_(guinea).png"")",Which country does this flag belong to?,Guinea,Egypt,US Minor Outlying Islands,Europe,Guinea
Set_37,109,Ireland,"=IMAGE(""https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_37_109_(ireland).png"")",Which country does this flag belong to?,Turkmenistan,Samoa,Cameroon,Ireland,Ireland
Set_37,110,Kyrgyzstan,"=IMAGE(""https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_37_110_(kyrgyzstan).png"")",Which country does this flag belong to?,South Georgia and the South Sandwich Islands,Kenya,Kyrgyzstan,Malta,Kyrgyzstan
Set_37,111,Heard Island and McDonald Islands,"=IMAGE(""https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_37_111_(heard_island_and_mcdonald_islands).png"")",Which country does this flag belong to?,Antigua and Barbuda,Tokelau,Mayotte,Heard Island and McDonald Islands,Heard Island and McDonald Islands
Set_38,112,Israel,"=IMAGE(""https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_38_112_(israel).png"")",Which country does this flag belong to?,Cocos Islands,Portugal,Korea Democratic Peoples,Israel,Israel
Set_38,113,Laos,"=IMAGE(""https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_38_113_(laos).png"")",Which country does this flag belong to?,Belarus,Laos,Burundi,"Tanzania, United Republic of",Laos
