set_id,quiz_id,country_name,image,question_text,option_a,option_b,option_c,option_d,correct_answer
Set_09,27,Bouvet Island,Set_09_027_(bouvet_island).png,Which country does this flag belong to?,Saint Kitts and Nevis,Malta,Czech Republic,Bouvet Island,Bouvet Island
Set_10,28,Brazil,Set_10_028_(brazil).png,Which country does this flag belong to?,Denmark,Somalia,Caribbean Netherlands,Brazil,Brazil
Set_10,29,Bhutan,Set_10_029_(bhutan).png,Which country does this flag belong to?,Dominica,Saint Pierre and Miquelon,Bhutan,Saint Lucia,Bhutan
Set_10,30,British Indian Ocean Territory,Set_10_030_(british_indian_ocean_territory).png,Which country does this flag belong to?,Turkmenistan,Afghanistan,British Indian Ocean Territory,Andorra,British Indian Ocean Territory
Set_11,31,Cameroon,Set_11_031_(cameroon).png,Which country does this flag belong to?,Cameroon,Suriname,Mongolia,Belize,Cameroon
Set_11,32,Botswana,Set_11_032_(botswana).png,Which country does this flag belong to?,Ecuador,Botswana,Guatemala,England,Botswana
Set_11,33,Burundi,Set_11_033_(burundi).png,Which country does this flag belong to?,Canada,Réunion,Burundi,Montenegro,Burundi
Set_12,34,Chile,Set_12_034_(chile).png,Which country does this flag belong to?,"Virgin Islands, British",Chile,Bahrain,Myanmar,Chile
Set_12,35,Brunei Darussalam,Set_12_035_(brunei_darussalam).png,Which country does this flag belong to?,Northern Ireland,Brunei Darussalam,Montenegro,Jordan,Brunei Darussalam
Set_12,36,Cape Verde,Set_12_036_(cape_verde).png,Which country does this flag belong to?,Central African Republic,Réunion,Cape Verde,Czech Republic,Cape Verde
Set_13,37,China,Set_13_037_(china).png,Which country does this flag belong to?,China,Saint Martin,Greece,Uzbekistan,China
Set_13,38,Bulgaria,Set_13_038_(bulgaria).png,Which country does this flag belong to?,Algeria,Solomon Islands,Saudi Arabia,Bulgaria,Bulgaria
Set_13,39,Cayman Islands,Set_13_039_(cayman_islands).png,Which country does this flag belong to?,Cayman Islands,Nauru,Zambia,United Arab Emirates,Cayman Islands
Set_14,40,Colombia,Set_14_040_(colombia).png,Which country does this flag belong to?,Guadeloupe,Colombia,Trinidad and Tobago,Guam,Colombia
Set_14,41,Burkina Faso,Set_14_041_(burkina_faso).png,Which country does this flag belong to?,Burkina Faso,Ethiopia,Lithuania,Uruguay,Burkina Faso
Set_14,42,Christmas Island,Set_14_042_(christmas_island).png,Which country does this flag belong to?,Christmas Island,Caribbean Netherlands,Saint Martin,Saint Pierre and Miquelon,Christmas Island
Set_15,43,Costa Rica,Set_15_043_(costa_rica).png,Which country does this flag belong to?,Saint Kitts and Nevis,Puerto Rico,Costa Rica,Antigua and Barbuda,Costa Rica
Set_15,44,Cambodia,Set_15_044_(cambodia).png,Which country does this flag belong to?,Japan,Cambodia,Cayman Islands,Åland Islands,Cambodia
Set_15,45,Cocos Islands,Set_15_045_(cocos_islands).png,Which country does this flag belong to?,Cocos Islands,British Indian Ocean Territory,Benin,Aruba,Cocos Islands
Set_16,46,Croatia,Set_16_046_(croatia).png,Which country does this flag belong to?,Cyprus,Barbados,Slovenia,Croatia,Croatia
Set_16,47,Canada,Set_16_047_(canada).png,Which country does this flag belong to?,Kazakhstan,Saint Pierre and Miquelon,Canada,Thailand,Canada
Set_16,48,Comoros,Set_16_048_(comoros).png,Which country does this flag belong to?,Indonesia,Comoros,Mayotte,Trinidad and Tobago,Comoros
Set_17,49,Cuba,Set_17_049_(cuba).png,Which country does this flag belong to?,Botswana,Zimbabwe,Sweden,Cuba,Cuba
Set_17,50,Caribbean Netherlands,Set_17_050_(caribbean_netherlands).png,Which country does this flag belong to?,Nauru,Moldova,South Africa,Caribbean Netherlands,Caribbean Netherlands
