set_id,quiz_id,country_name,image,question_text,option_a,option_b,option_c,option_d,correct_answer
Set_57,170,North Macedonia,Set_57_170_(north_macedonia).png,Which country does this flag belong to?,Sint Maarten,Antigua and Barbuda,North Macedonia,Libya,North Macedonia
Set_57,171,Palestine,Set_57_171_(palestine).png,Which country does this flag belong to?,Zambia,Christmas Island,"Bolivia, Plurinational State of",Palestine,Palestine
Set_58,172,Pakistan,Set_58_172_(pakistan).png,Which country does this flag belong to?,Trinidad and Tobago,France,Saint Kitts and Nevis,Pakistan,Pakistan
Set_58,173,Oman,Set_58_173_(oman).png,Which country does this flag belong to?,Oman,"Congo, the Democratic Republic of the",Barbados,Bermuda,Oman
Set_58,174,Pitcairn,Set_58_174_(pitcairn).png,Which country does this flag belong to?,Bhutan,Pitcairn,South Georgia and the South Sandwich Islands,Saint Barthélemy,Pitcairn
Set_59,175,Panama,Set_59_175_(panama).png,Which country does this flag belong to?,Montserrat,Grenada,Panama,United Arab Emirates,Panama
Set_59,176,Qatar,Set_59_176_(qatar).png,Which country does this flag belong to?,Chad,Qatar,Ireland,Mozambique,Qatar
Set_59,177,Puerto Rico,Set_59_177_(puerto_rico).png,Which country does this flag belong to?,Puerto Rico,Slovenia,Aruba,United Kingdom,Puerto Rico
Set_60,178,Papua New Guinea,Set_60_178_(papua_new_guinea).png,Which country does this flag belong to?,Holy See,Papua New Guinea,Anguilla,Spain,Papua New Guinea
Set_60,179,Saint Kitts and Nevis,Set_60_179_(saint_kitts_and_nevis).png,Which country does this flag belong to?,Slovenia,Jersey,Saint Kitts and Nevis,Albania,Saint Kitts and Nevis
Set_60,180,Republic of the Congo,Set_60_180_(republic_of_the_congo).png,Which country does this flag belong to?,Republic of the Congo,Slovakia,Togo,Thailand,Republic of the Congo
Set_61,181,Paraguay,Set_61_181_(paraguay).png,Which country does this flag belong to?,Kingdom of Eswatini,Nigeria,Montserrat,Paraguay,Paraguay
Set_61,182,Saint Lucia,Set_61_182_(saint_lucia).png,Which country does this flag belong to?,Europe,Tokelau,Saint Lucia,Luxembourg,Saint Lucia
Set_61,183,Republic of Türkiye,Set_61_183_(republic_of_türkiye).png,Which country does this flag belong to?,Republic of Türkiye,"Micronesia, Federated States of",British Indian Ocean Territory,Kenya,Republic of Türkiye
Set_62,184,Peru,Set_62_184_(peru).png,Which country does this flag belong to?,Sint Maarten,Yemen,Peru,Australia,Peru
Set_62,185,Samoa,Set_62_185_(samoa).png,Which country does this flag belong to?,Nauru,Tajikistan,Samoa,Christmas Island,Samoa
Set_62,186,Russian Federation,Set_62_186_(russian_federation).png,Which country does this flag belong to?,Saint Kitts and Nevis,Russian Federation,China,Gabon,Russian Federation
Set_63,187,Philippines,Set_63_187_(philippines).png,Which country does this flag belong to?,"Virgin Islands, British",Philippines,England,India,Philippines
Set_63,188,San Marino,Set_63_188_(san_marino).png,Which country does this flag belong to?,Senegal,San Marino,Zambia,New Zealand,San Marino
Set_63,189,Rwanda,Set_63_189_(rwanda).png,Which country does this flag belong to?,Gibraltar,"Korea, Republic of",Zambia,Rwanda,Rwanda
Set_64,190,Poland,Set_64_190_(poland).png,Which country does this flag belong to?,Cook Islands,Poland,Latvia,Pitcairn,Poland
Set_64,191,Senegal,Set_64_191_(senegal).png,Which country does this flag belong to?,Senegal,Philippines,Marshall Islands,Norfolk Island,Senegal
Set_64,192,Réunion,Set_64_192_(réunion).png,Which country does this flag belong to?,Central African Republic,Libya,French Guiana,Réunion,Réunion
Set_65,193,Portugal,Set_65_193_(portugal).png,Which country does this flag belong to?,Armenia,Tunisia,Guyana,Portugal,Portugal
Set_65,194,Seychelles,Set_65_194_(seychelles).png,Which country does this flag belong to?,Seychelles,Albania,Northern Ireland,Mauritania,Seychelles
Set_65,195,Saint Barthélemy,Set_65_195_(saint_barthélemy).png,Which country does this flag belong to?,Sierra Leone,Saint Barthélemy,Chad,Cook Islands,Saint Barthélemy
Set_66,196,Romania,Set_66_196_(romania).png,Which country does this flag belong to?,Saudi Arabia,Kenya,British Indian Ocean Territory,Romania,Romania
Set_66,197,Somalia,Set_66_197_(somalia).png,Which country does this flag belong to?,Côte d'Ivoire,Czech Republic,Somalia,Estonia,Somalia
Set_66,198,"Saint Helena, Ascension and Tristan da Cunha",Set_66_198_(saint_helena_ascension_and_tristan_da_cunha).png,Which country does this flag belong to?,"Saint Helena, Ascension and Tristan da Cunha",Philippines,Poland,France,"Saint Helena, Ascension and Tristan da Cunha"
Set_67,199,Saudi Arabia,Set_67_199_(saudi_arabia).png,Which country does this flag belong to?,"Bolivia, Plurinational State of",Saudi Arabia,Mauritania,Indonesia,Saudi Arabia
Set_67,200,Sudan,Set_67_200_(sudan).png,Which country does this flag belong to?,Turks and Caicos Islands,Sudan,Andorra,Bosnia and Herzegovina,Sudan
