set_id,quiz_id,difficulty,difficulty_number,country_filename,country_name,flag_image_path,image_url,question_text,option_a,option_b,option_c,option_d,correct_answer,correct_option
Set_12,34,beginner,beginner12,chile,Chile,begin12_chile.png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/begin12_chile.png,Which country does this flag belong to?,"Virgin Islands, British",Chile,Bahrain,Myanmar,Chile,B
Set_12,35,intermediate,intermediate12,brunei_darussalam,Brunei Darussalam,inter12_brunei_darussalam.png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/inter12_brunei_darussalam.png,Which country does this flag belong to?,Northern Ireland,Brunei Darussalam,Montenegro,Jordan,Brunei Darussalam,B
Set_12,36,high,high12,cape_verde,Cape Verde,high12_cape_verde.png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/high12_cape_verde.png,Which country does this flag belong to?,Central African Republic,Réunion,Cape Verde,Czech Republic,Cape Verde,C
Set_13,37,beginner,beginner13,china,China,begin13_china.png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/begin13_china.png,Which country does this flag belong to?,China,Saint Martin,Greece,Uzbekistan,China,A
Set_13,38,intermediate,intermediate13,bulgaria,Bulgaria,inter13_bulgaria.png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/inter13_bulgaria.png,Which country does this flag belong to?,Algeria,Solomon Islands,Saudi Arabia,Bulgaria,Bulgaria,D
Set_13,39,high,high13,cayman_islands,Cayman Islands,high13_cayman_islands.png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/high13_cayman_islands.png,Which country does this flag belong to?,Cayman Islands,Nauru,Zambia,United Arab Emirates,Cayman Islands,A
Set_14,40,beginner,beginner14,colombia,Colombia,begin14_colombia.png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/begin14_colombia.png,Which country does this flag belong to?,Guadeloupe,Colombia,Trinidad and Tobago,Guam,Colombia,B
Set_14,41,intermediate,intermediate14,burkina_faso,Burkina Faso,inter14_burkina_faso.png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/inter14_burkina_faso.png,Which country does this flag belong to?,Burkina Faso,Ethiopia,Lithuania,Uruguay,Burkina Faso,A
Set_14,42,high,high14,christmas_island,Christmas Island,high14_christmas_island.png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/high14_christmas_island.png,Which country does this flag belong to?,Christmas Island,Caribbean Netherlands,Saint Martin,Saint Pierre and Miquelon,Christmas Island,A
Set_15,43,beginner,beginner15,costa_rica,Costa Rica,begin15_costa_rica.png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/begin15_costa_rica.png,Which country does this flag belong to?,Saint Kitts and Nevis,Puerto Rico,Costa Rica,Antigua and Barbuda,Costa Rica,C
Set_15,44,intermediate,intermediate15,cambodia,Cambodia,inter15_cambodia.png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/inter15_cambodia.png,Which country does this flag belong to?,Japan,Cambodia,Cayman Islands,Åland Islands,Cambodia,B
Set_15,45,high,high15,cocos_islands,Cocos Islands,high15_cocos_islands.png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/high15_cocos_islands.png,Which country does this flag belong to?,Cocos Islands,British Indian Ocean Territory,Benin,Aruba,Cocos Islands,A
Set_16,46,beginner,beginner16,croatia,Croatia,begin16_croatia.png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/begin16_croatia.png,Which country does this flag belong to?,Cyprus,Barbados,Slovenia,Croatia,Croatia,D
Set_16,47,intermediate,intermediate16,canada,Canada,inter16_canada.png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/inter16_canada.png,Which country does this flag belong to?,Kazakhstan,Saint Pierre and Miquelon,Canada,Thailand,Canada,C
Set_16,48,high,high16,comoros,Comoros,high16_comoros.png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/high16_comoros.png,Which country does this flag belong to?,Indonesia,Comoros,Mayotte,Trinidad and Tobago,Comoros,B
Set_17,49,beginner,beginner17,cuba,Cuba,begin17_cuba.png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/begin17_cuba.png,Which country does this flag belong to?,Botswana,Zimbabwe,Sweden,Cuba,Cuba,D
Set_17,50,intermediate,intermediate17,caribbean_netherlands,Caribbean Netherlands,inter17_caribbean_netherlands.png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/inter17_caribbean_netherlands.png,Which country does this flag belong to?,Nauru,Moldova,South Africa,Caribbean Netherlands,Caribbean Netherlands,D
Set_17,51,high,high17,congo_the_democratic_the,"Congo, the Democratic Republic of the",high17_congo_the_democratic_the.png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/high17_congo_the_democratic_the.png,Which country does this flag belong to?,Caribbean Netherlands,Tokelau,"Congo, the Democratic Republic of the",Mexico,"Congo, the Democratic Republic of the",C
Set_18,52,beginner,beginner18,cyprus,Cyprus,begin18_cyprus.png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/begin18_cyprus.png,Which country does this flag belong to?,Cambodia,Chile,Cyprus,Tokelau,Cyprus,C
Set_18,53,intermediate,intermediate18,central_african_republic,Central African Republic,inter18_central_african_republic.png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/inter18_central_african_republic.png,Which country does this flag belong to?,Martinique,Central African Republic,Spain,Yemen,Central African Republic,B
Set_18,54,high,high18,cook_islands,Cook Islands,high18_cook_islands.png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/high18_cook_islands.png,Which country does this flag belong to?,El Salvador,Marshall Islands,Saudi Arabia,Cook Islands,Cook Islands,D
Set_19,55,beginner,beginner19,denmark,Denmark,begin19_denmark.png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/begin19_denmark.png,Which country does this flag belong to?,Guinea,Northern Ireland,Denmark,United Kingdom,Denmark,C
Set_19,56,intermediate,intermediate19,chad,Chad,inter19_chad.png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/inter19_chad.png,Which country does this flag belong to?,Moldova,Bhutan,Chad,Sierra Leone,Chad,C
Set_19,57,high,high19,curaçao,Curaçao,high19_curaçao.png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/high19_curaçao.png,Which country does this flag belong to?,Cook Islands,Curaçao,Djibouti,Ethiopia,Curaçao,B
Set_20,58,beginner,beginner20,ecuador,Ecuador,begin20_ecuador.png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/begin20_ecuador.png,Which country does this flag belong to?,Ecuador,Åland Islands,Jamaica,Mongolia,Ecuador,A
Set_20,59,intermediate,intermediate20,czech_republic,Czech Republic,inter20_czech_republic.png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/inter20_czech_republic.png,Which country does this flag belong to?,Switzerland,Czech Republic,Antigua and Barbuda,Mauritius,Czech Republic,B
Set_20,60,high,high20,côte_divoire,Côte d'Ivoire,high20_côte_divoire.png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/high20_côte_divoire.png,Which country does this flag belong to?,Hong Kong,Côte d'Ivoire,Slovakia,French Guiana,Côte d'Ivoire,B
Set_21,61,beginner,beginner21,egypt,Egypt,begin21_egypt.png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/begin21_egypt.png,Which country does this flag belong to?,Egypt,Gabon,Panama,Palau,Egypt,A
Set_21,62,intermediate,intermediate21,dominica,Dominica,inter21_dominica.png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/inter21_dominica.png,Which country does this flag belong to?,Turkmenistan,Bahamas,Dominica,Bouvet Island,Dominica,C
Set_21,63,high,high21,djibouti,Djibouti,high21_djibouti.png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/high21_djibouti.png,Which country does this flag belong to?,Kenya,Djibouti,Vietnam,Equatorial Guinea,Djibouti,B
Set_22,64,beginner,beginner22,estonia,Estonia,begin22_estonia.png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/begin22_estonia.png,Which country does this flag belong to?,Estonia,Northern Mariana Islands,Malta,Malawi,Estonia,A
Set_22,65,intermediate,intermediate22,dominican_republic,Dominican Republic,inter22_dominican_republic.png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/inter22_dominican_republic.png,Which country does this flag belong to?,Dominican Republic,American Samoa,Philippines,Kosovo,Dominican Republic,A
Set_22,66,high,high22,england,England,high22_england.png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/high22_england.png,Which country does this flag belong to?,England,Colombia,China,Saint Barthélemy,England,A
Set_23,67,beginner,beginner23,ethiopia,Ethiopia,begin23_ethiopia.png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/begin23_ethiopia.png,Which country does this flag belong to?,Ecuador,"Congo, the Democratic Republic of the",Ethiopia,Germany,Ethiopia,C
Set_23,68,intermediate,intermediate23,el_salvador,El Salvador,inter23_el_salvador.png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/inter23_el_salvador.png,Which country does this flag belong to?,Nicaragua,Azerbaijan,Uruguay,El Salvador,El Salvador,D
Set_23,69,high,high23,equatorial_guinea,Equatorial Guinea,high23_equatorial_guinea.png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/high23_equatorial_guinea.png,Which country does this flag belong to?,Belarus,Equatorial Guinea,Caribbean Netherlands,Togo,Equatorial Guinea,B
Set_24,70,beginner,beginner24,fiji,Fiji,begin24_fiji.png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/begin24_fiji.png,Which country does this flag belong to?,Réunion,French Southern Territories,Fiji,Syrian Arab Republic,Fiji,C
Set_24,71,intermediate,intermediate24,french_southern_territories,French Southern Territories,inter24_french_southern_territories.png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/inter24_french_southern_territories.png,Which country does this flag belong to?,Burkina Faso,French Southern Territories,Costa Rica,Germany,French Southern Territories,B
Set_24,72,high,high24,eritrea,Eritrea,high24_eritrea.png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/high24_eritrea.png,Which country does this flag belong to?,Cayman Islands,Cyprus,Eritrea,US Minor Outlying Islands,Eritrea,C
Set_25,73,beginner,beginner25,finland,Finland,begin25_finland.png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/begin25_finland.png,Which country does this flag belong to?,Liberia,Turks and Caicos Islands,South Sudan,Finland,Finland,D
Set_25,74,intermediate,intermediate25,gabon,Gabon,inter25_gabon.png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/inter25_gabon.png,Which country does this flag belong to?,Finland,Djibouti,United States,Gabon,Gabon,D
Set_25,75,high,high25,europe,Europe,high25_europe.png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/high25_europe.png,Which country does this flag belong to?,Europe,Greece,Suriname,Somalia,Europe,A
Set_26,76,beginner,beginner26,france,France,begin26_france.png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/begin26_france.png,Which country does this flag belong to?,French Guiana,Northern Mariana Islands,Comoros,France,France,D
Set_26,77,intermediate,intermediate26,gambia,Gambia,inter26_gambia.png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/inter26_gambia.png,Which country does this flag belong to?,Cuba,Georgia,Gambia,Austria,Gambia,C
Set_26,78,high,high26,falkland_islands,Falkland Islands,high26_falkland_islands.png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/high26_falkland_islands.png,Which country does this flag belong to?,South Sudan,Singapore,Falkland Islands,Egypt,Falkland Islands,C
Set_27,79,beginner,beginner27,germany,Germany,begin27_germany.png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/begin27_germany.png,Which country does this flag belong to?,Uganda,Croatia,Germany,Pakistan,Germany,C
Set_27,80,intermediate,intermediate27,georgia,Georgia,inter27_georgia.png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/inter27_georgia.png,Which country does this flag belong to?,Georgia,Saint Lucia,Cape Verde,Trinidad and Tobago,Georgia,A
Set_27,81,high,high27,faroe_islands,Faroe Islands,high27_faroe_islands.png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/high27_faroe_islands.png,Which country does this flag belong to?,Ukraine,Pakistan,Mauritius,Faroe Islands,Faroe Islands,D
Set_28,82,beginner,beginner28,ghana,Ghana,begin28_ghana.png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/begin28_ghana.png,Which country does this flag belong to?,Greenland,Kazakhstan,Ghana,Falkland Islands,Ghana,C
Set_28,83,intermediate,intermediate28,guinea-bissau,Guinea-Bissau,inter28_guinea-bissau.png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/inter28_guinea-bissau.png,Which country does this flag belong to?,Kingdom of Eswatini,Honduras,Guinea-Bissau,Botswana,Guinea-Bissau,C
Set_28,84,high,high28,french_guiana,French Guiana,high28_french_guiana.png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/high28_french_guiana.png,Which country does this flag belong to?,French Guiana,Pitcairn,Virgin Islands Us,Wales,French Guiana,A
Set_29,85,beginner,beginner29,greece,Greece,begin29_greece.png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/begin29_greece.png,Which country does this flag belong to?,Dominica,Cook Islands,Bosnia and Herzegovina,Greece,Greece,D
Set_29,86,intermediate,intermediate29,guyana,Guyana,inter29_guyana.png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/inter29_guyana.png,Which country does this flag belong to?,Guyana,Albania,Singapore,Guam,Guyana,A
Set_29,87,high,high29,french_polynesia,French Polynesia,high29_french_polynesia.png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/high29_french_polynesia.png,Which country does this flag belong to?,Armenia,French Polynesia,Solomon Islands,"Bolivia, Plurinational State of",French Polynesia,B
Set_30,88,beginner,beginner30,guatemala,Guatemala,begin30_guatemala.png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/begin30_guatemala.png,Which country does this flag belong to?,Cameroon,"Venezuela, Bolivarian Republic of",Guatemala,Lebanon,Guatemala,C
Set_30,89,intermediate,intermediate30,haiti,Haiti,inter30_haiti.png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/inter30_haiti.png,Which country does this flag belong to?,North Macedonia,"Iran, Islamic Republic of",Colombia,Haiti,Haiti,D
Set_30,90,high,high30,gibraltar,Gibraltar,high30_gibraltar.png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/high30_gibraltar.png,Which country does this flag belong to?,Madagascar,India,Gibraltar,Republic of Türkiye,Gibraltar,C
Set_31,91,beginner,beginner31,honduras,Honduras,begin31_honduras.png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/begin31_honduras.png,Which country does this flag belong to?,Libya,Hong Kong,Honduras,Guernsey,Honduras,C
Set_31,92,intermediate,intermediate31,iraq,Iraq,inter31_iraq.png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/inter31_iraq.png,Which country does this flag belong to?,Bermuda,Liberia,Iraq,Solomon Islands,Iraq,C
Set_31,93,high,high31,greenland,Greenland,high31_greenland.png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/high31_greenland.png,Which country does this flag belong to?,Greenland,Timor-Leste,San Marino,Grenada,Greenland,A
Set_32,94,beginner,beginner32,hungary,Hungary,begin32_hungary.png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/begin32_hungary.png,Which country does this flag belong to?,Mozambique,Hungary,Qatar,Bosnia and Herzegovina,Hungary,B
Set_32,95,intermediate,intermediate32,jordan,Jordan,inter32_jordan.png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/inter32_jordan.png,Which country does this flag belong to?,Anguilla,Jordan,Burkina Faso,Solomon Islands,Jordan,B
Set_32,96,high,high32,grenada,Grenada,high32_grenada.png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/high32_grenada.png,Which country does this flag belong to?,Lesotho,Germany,South Sudan,Grenada,Grenada,D
Set_33,97,beginner,beginner33,iceland,Iceland,begin33_iceland.png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/begin33_iceland.png,Which country does this flag belong to?,Martinique,Isle of Man,Sudan,Iceland,Iceland,D
Set_33,98,intermediate,intermediate33,kazakhstan,Kazakhstan,inter33_kazakhstan.png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/inter33_kazakhstan.png,Which country does this flag belong to?,Kazakhstan,Greenland,Ireland,Slovakia,Kazakhstan,A
Set_33,99,high,high33,guadeloupe,Guadeloupe,high33_guadeloupe.png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/high33_guadeloupe.png,Which country does this flag belong to?,Trinidad and Tobago,Guadeloupe,Senegal,Japan,Guadeloupe,B
Set_34,100,beginner,beginner34,india,India,begin34_india.png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/begin34_india.png,Which country does this flag belong to?,"Bolivia, Plurinational State of",Lesotho,Panama,India,India,D
Set_34,101,intermediate,intermediate34,korea,"Korea, Republic of",inter34_korea.png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/inter34_korea.png,Which country does this flag belong to?,"Korea, Republic of",Cocos Islands,Singapore,American Samoa,"Korea, Republic of",A
Set_34,102,high,high34,guam,Guam,high34_guam.png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/high34_guam.png,Which country does this flag belong to?,Indonesia,"Bolivia, Plurinational State of",Sudan,Guam,Guam,D
Set_35,103,beginner,beginner35,indonesia,Indonesia,begin35_indonesia.png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/begin35_indonesia.png,Which country does this flag belong to?,Angola,Indonesia,Saudi Arabia,Puerto Rico,Indonesia,B
